# gates: unchanged CRITERIA-THEORY.md; a hit requires agreement on every component of all four panels
variant,source_figure,separation_over_length,points,median_absolute_error,p90_absolute_error,rms_error,maximum_absolute_error,median_signed_error,source_hump_fn,predicted_hump_fn,hump_fn_error,source_hump_tau,predicted_hump_tau,hump_amplitude_ratio,panel_verdict,four_panel_verdict
baseline_resolved_equations,359,0.2,61,0.10383495597699999,0.2957686697970001,0.17013803579077283,0.4121963376300001,-0.0384675301923999,0.45,0.445,0.0050000000000000044,1.9790441,1.672620457428,0.8451658340650418,disagreement,miss
baseline_resolved_equations,360,0.3,61,0.04964457217899998,0.14464323777800003,0.11697322248660803,0.5407271373531,-0.007535612549099957,0.41,0.405,0.004999999999999949,1.7163181,1.574956556521,0.9176367460792961,partial,miss
baseline_resolved_equations,361,0.4,61,0.04294328383500001,0.12449062938900002,0.07220076349267883,0.17483250836089992,0.0070415313717999695,0.395,0.385,0.010000000000000009,1.5387063,1.43743773201,0.9341859015005007,partial,miss
baseline_resolved_equations,362,0.5,61,0.012921542156000054,0.07141068994800004,0.05268473667477745,0.2135784931089999,-0.0007425968920000692,0.385,0.375,0.010000000000000009,1.3464128,1.301533463869,0.9666674766230683,agreement,miss
cosine_instead_of_cosine_squared,359,0.2,61,0.14214300681290004,0.5049377952845,0.34186966795068807,0.9663515161353899,-0.14214300681290004,0.45,0.465,0.015000000000000013,1.9790441,1.494303512554,0.7550632714824294,disagreement,miss
cosine_instead_of_cosine_squared,360,0.3,61,0.41676791554500003,0.91553559748006,0.5792159063926491,1.3659717301073,-0.41676791554500003,0.41,0.485,0.07500000000000001,1.7163181,1.406195751124,0.8193095155985362,disagreement,miss
cosine_instead_of_cosine_squared,361,0.4,61,0.6040007197741999,1.1387768178691,0.7573547009008261,1.5660858559095998,-0.6040007197741999,0.395,0.445,0.04999999999999999,1.5387063,1.345240376357,0.8742671530993276,disagreement,miss
cosine_instead_of_cosine_squared,362,0.5,61,0.7634123986134,1.4412366437588,0.8879854274271528,2.027110397192,-0.7634123986134,0.385,0.42,0.034999999999999976,1.3464128,1.260474516368,0.9361724103989505,disagreement,miss
double_nonzero_mode_multiplicity,359,0.2,61,0.12799213446870006,0.35622266075099995,0.19882072408870582,0.37585815403299994,-0.08889061957040001,0.45,0.45,0.0,1.9790441,1.61424328684,0.8156681737612618,disagreement,miss
double_nonzero_mode_multiplicity,360,0.3,61,0.06887701101599997,0.22625232555999997,0.14946504751492484,0.5590762238349,-0.06521806747340009,0.41,0.405,0.004999999999999949,1.7163181,1.492420058312,0.8695474681016299,disagreement,miss
double_nonzero_mode_multiplicity,361,0.4,61,0.07209292371599996,0.22812732955999993,0.12896373576426357,0.24828785877799997,-0.06813334868219989,0.395,0.38,0.015000000000000013,1.5387063,1.339287553159,0.87039843351457,disagreement,miss
double_nonzero_mode_multiplicity,362,0.5,61,0.08894775916460007,0.2025403322799999,0.11918915089426649,0.23087690713499986,-0.08601803994909984,0.385,0.37,0.015000000000000013,1.3464128,1.200979893214,0.8919849047884868,disagreement,miss
doubled_interference_cross_term,359,0.2,61,0.284746354188,0.407826422531,0.31258756782907793,0.74096157526,0.21043768172199995,0.45,0.445,0.0050000000000000044,1.9790441,2.345240376357,1.1850369460473364,disagreement,miss
doubled_interference_cross_term,360,0.3,61,0.20655244157899988,0.43238816747599973,0.3008544295783868,0.9219268747063,0.1308047159050001,0.41,0.405,0.004999999999999949,1.7163181,2.14991246677,1.2526305390416845,disagreement,miss
doubled_interference_cross_term,361,0.4,61,0.08496013855899998,0.334310470141,0.18620442350276373,0.4799329274509998,0.0428016706662,0.395,0.385,0.010000000000000009,1.5387063,1.874874812048,1.218474774586937,disagreement,miss
doubled_interference_cross_term,362,0.5,61,0.051687406931000046,0.22424476928500003,0.12969787656114812,0.41074402505599994,0.03098341580600006,0.385,0.375,0.010000000000000009,1.3464128,1.603066377489,1.1906202744722867,disagreement,miss
half_nonzero_mode_multiplicity,359,0.2,61,0.14234487564629994,0.2510675433549999,0.1718071103556029,0.4979187797379999,0.0519506763387001,0.45,0.445,0.0050000000000000044,1.9790441,1.74939563145,0.8839599033947753,disagreement,miss
half_nonzero_mode_multiplicity,360,0.3,61,0.09808197273999997,0.1801903299780001,0.14350542924474102,0.5054355009064,0.09464891262999997,0.41,0.405,0.004999999999999949,1.7163181,1.679264723257,0.9784111251037905,partial,miss
half_nonzero_mode_multiplicity,361,0.4,61,0.10772630642000014,0.18612615686700007,0.12025867357031035,0.24622401213599998,0.10772630642000014,0.395,0.39,0.0050000000000000044,1.5387063,1.568623035867,1.0194427850636603,disagreement,miss
half_nonzero_mode_multiplicity,362,0.5,61,0.11934715025299991,0.17004365571699998,0.1273735991505665,0.272367081104,0.11934715025299991,0.385,0.385,0.0,1.3464128,1.457964936582,1.0828513636991568,disagreement,miss
literal_equation_4_29,359,0.2,61,0.10383480922299992,0.29576531061,0.17099921957463388,0.4121963376300001,-0.03846751988029995,0.45,0.445,0.0050000000000000044,1.9790441,1.672626863273,0.8451690709029677,disagreement,miss
literal_equation_4_29,360,0.3,61,0.05049983974200001,0.14464186407199997,0.11724485431159076,0.5407271373531,-0.0014869815257999575,0.41,0.405,0.004999999999999949,1.7163181,1.574957560413,0.9176373309895175,partial,miss
literal_equation_4_29,361,0.4,61,0.042943283603899984,0.12448702697699998,0.07263096901184185,0.17483250836089992,0.009917434116999857,0.395,0.385,0.010000000000000009,1.5387063,1.437438048777,0.9341861073662985,partial,miss
literal_equation_4_29,362,0.5,61,0.012911809795999929,0.07141068994800004,0.052754333160676105,0.21357849959599995,0.002070481924000056,0.385,0.375,0.010000000000000009,1.3464128,1.301533625069,0.9666675963486087,agreement,miss
