# source: Mustafa Insel, 1990 PhD thesis, Figures 347--350
# source_location: printed pages 352--353; PDF pages 362--363
# principal-hump window only; source-only two-pass trace
figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_pass_a,relative_position_pass_b,fn_anchor,fn_a,tau_a,fn_b,tau_b,fn_pass_difference,tau_pass_difference,pass_a_x_px,pass_a_y_px,pass_b_x_px,pass_b_y_px,fn,tau,fn_digitization_uncertainty,tau_digitization_uncertainty,pass_count,adjudication
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.350,0.3499999,1.5222778,0.3500000,1.5207242,0.0000000,0.0015536,1423.722,1071.460,1424.611,1072.949,0.3499999,1.5215010,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.355,0.3550001,1.3993526,0.3549999,1.4011799,0.0000002,0.0018274,1437.617,1155.000,1438.483,1154.000,0.3550000,1.4002663,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.360,0.3600000,1.2665391,0.3600002,1.2870103,0.0000002,0.0204712,1451.511,1245.260,1452.356,1231.407,0.3600001,1.2767747,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.365,0.3650002,1.1639200,0.3650001,1.1644041,0.0000001,0.0004842,1465.406,1315.000,1466.228,1314.534,0.3650001,1.1641620,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.370,0.3700000,0.9991171,0.3700000,0.9970501,0.0000000,0.0020670,1479.300,1427.000,1480.100,1428.000,0.3700000,0.9980836,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.375,0.3749998,0.8956636,0.3749999,0.8957920,0.0000001,0.0001284,1493.194,1497.307,1493.972,1496.653,0.3749999,0.8957278,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.380,0.3800000,0.9320012,0.3799998,0.9542773,0.0000002,0.0222761,1507.089,1472.612,1507.844,1457.000,0.3799999,0.9431392,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.385,0.3849999,1.0037919,0.3850001,1.0031947,0.0000002,0.0005972,1520.983,1423.823,1521.717,1423.834,0.3850000,1.0034933,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.390,0.3900001,1.0077237,0.3900000,1.0083068,0.0000000,0.0005831,1534.878,1421.151,1535.589,1420.368,0.3900001,1.0080152,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.395,0.3949999,1.0571454,0.3950000,1.0636563,0.0000000,0.0065110,1548.772,1387.564,1549.461,1382.841,0.3949999,1.0604009,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.400,0.4000001,1.1453370,0.3999999,1.1639794,0.0000002,0.0186424,1562.667,1327.629,1563.333,1314.822,0.4000000,1.1546582,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.405,0.4050000,1.1653708,0.4050002,1.1660059,0.0000002,0.0006351,1576.561,1314.014,1577.206,1313.448,0.4050001,1.1656884,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.410,0.4100002,1.2397969,0.4100001,1.2408599,0.0000001,0.0010629,1590.456,1263.434,1591.078,1262.697,0.4100001,1.2403284,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.415,0.4150000,1.3041583,0.4150000,1.3400177,0.0000000,0.0358594,1604.350,1219.694,1604.950,1195.468,0.4150000,1.3220880,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.420,0.4199998,1.3581680,0.4199999,1.3638732,0.0000001,0.0057051,1618.244,1182.989,1618.822,1179.294,0.4199999,1.3610206,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.425,0.4250000,1.4405533,0.4249998,1.4064587,0.0000002,0.0340946,1632.139,1127.000,1632.694,1150.421,0.4249999,1.4235060,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.430,0.4299999,1.4808843,0.4300001,1.4500339,0.0000002,0.0308504,1646.033,1099.591,1646.567,1120.877,0.4300000,1.4654591,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.435,0.4350001,1.5510462,0.4350000,1.5516313,0.0000000,0.0005851,1659.928,1051.909,1660.439,1051.994,0.4350001,1.5513387,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.440,0.4399999,1.5461551,0.4400000,1.5470634,0.0000000,0.0009083,1673.822,1055.233,1674.311,1055.091,0.4399999,1.5466093,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.445,0.4450001,1.5966569,0.4449999,1.5959572,0.0000002,0.0006996,1687.717,1020.912,1688.183,1021.941,0.4450000,1.5963070,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.450,0.4500000,1.6263022,0.4500002,1.6400251,0.0000002,0.0137228,1701.611,1000.765,1702.056,992.063,0.4500001,1.6331637,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.455,0.4550002,1.6685330,0.4550001,1.6682212,0.0000001,0.0003117,1715.506,972.065,1715.928,972.946,0.4550001,1.6683771,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.460,0.4600000,1.7022072,0.4600000,1.7227330,0.0000000,0.0205259,1729.400,949.180,1729.800,935.987,0.4600000,1.7124701,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.465,0.4649998,1.7251619,0.4649999,1.7241416,0.0000001,0.0010203,1743.294,933.580,1743.672,935.032,0.4649999,1.7246517,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.470,0.4700000,1.7520762,0.4699998,1.7542655,0.0000002,0.0021893,1757.189,915.289,1757.544,914.608,0.4699999,1.7531709,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.475,0.4749999,1.7630827,0.4750001,1.7624720,0.0000002,0.0006107,1771.083,907.809,1771.417,909.044,0.4750000,1.7627773,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.480,0.4800001,1.7718158,0.4800000,1.7725634,0.0000000,0.0007476,1784.978,901.874,1785.289,902.202,0.4800001,1.7721896,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.485,0.4849999,1.7743114,0.4850000,1.7751637,0.0000000,0.0008524,1798.872,900.178,1799.161,900.439,0.4849999,1.7747375,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.490,0.4900001,1.7738905,0.4899999,1.7720723,0.0000002,0.0018183,1812.767,900.464,1813.033,902.535,0.4900000,1.7729814,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.495,0.4950000,1.7687051,0.4950002,1.7698791,0.0000002,0.0011739,1826.661,903.988,1826.906,904.022,0.4950001,1.7692921,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.500,0.5000002,1.7668776,0.5000001,1.7672227,0.0000001,0.0003451,1840.556,905.230,1840.778,905.823,0.5000001,1.7670501,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.505,0.5050000,1.7581739,0.5050000,1.7582935,0.0000000,0.0001196,1854.450,911.145,1854.650,911.877,0.5050000,1.7582337,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
347,352,362,0.2,C2,Wigley hull,solid,deep trough near Fn 0.38; solid broad crest below dashed C3,solid trough then second-highest close-spacing crest,0.510,0.5099998,1.7515421,0.5099999,1.7283923,0.0000001,0.0231498,1868.344,915.652,1868.522,932.150,0.5099999,1.7399672,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged
