figure,separation_over_length,model,hull,line_style,peak_fn,peak_tau,amplitude_max_tau_minus_one,fn_digitization_uncertainty,tau_digitization_uncertainty
347,0.2,C2,Wigley hull,solid,0.4849999,1.7747375,0.7747375,0.0030000,0.0200000
347,0.2,C3,"round-bilge hull, L/B 7",long dashed,0.5250001,1.8834121,0.8834121,0.0030000,0.0200000
347,0.2,C4,"round-bilge hull, L/B 9",dash-dot,0.5500000,1.5964822,0.5964822,0.0030000,0.0200000
347,0.2,C5,"round-bilge hull, L/B 11",dotted,0.5000001,1.7449662,0.7449662,0.0030000,0.0200000
348,0.3,C2,Wigley hull,solid,0.4399999,1.5598292,0.5598292,0.0030000,0.0200000
348,0.3,C3,"round-bilge hull, L/B 7",long dashed,0.4750000,1.6967894,0.6967894,0.0030000,0.0200000
348,0.3,C4,"round-bilge hull, L/B 9",dash-dot,0.4249999,1.5946545,0.5946545,0.0030000,0.0200000
348,0.3,C5,"round-bilge hull, L/B 11",dotted,0.4500001,1.5060428,0.5060428,0.0030000,0.0200000
349,0.4,C2,Wigley hull,solid,0.4249999,1.5978853,0.5978853,0.0030000,0.0240873
349,0.4,C3,"round-bilge hull, L/B 7",long dashed,0.4699999,1.5146004,0.5146004,0.0030000,0.0200000
349,0.4,C4,"round-bilge hull, L/B 9",dash-dot,0.4500001,1.3552346,0.3552346,0.0030000,0.0200000
349,0.4,C5,"round-bilge hull, L/B 11",dotted,0.4550001,1.3412459,0.3412459,0.0030000,0.0200000
350,0.5,C2,Wigley hull,solid,0.4249999,1.5223218,0.5223218,0.0030000,0.0200000
350,0.5,C3,"round-bilge hull, L/B 7",long dashed,0.4500001,1.2144710,0.2144710,0.0030000,0.0200000
350,0.5,C4,"round-bilge hull, L/B 9",dash-dot,0.4600000,1.2474854,0.2474854,0.0030000,0.0200000
350,0.5,C5,"round-bilge hull, L/B 11",dotted,0.5000001,1.2521801,0.2521801,0.0030000,0.0200000
