# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 244; Figures 135,136
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
monohull,fixed,ct,1,0.4095562,0.00625414,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1184.310,1163.200,B,1184.323,1162.900
monohull,fixed,ct,2,0.4324864,0.00673861,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1232.080,1100.790,B,1232.452,1102.351
monohull,fixed,ct,3,0.4546187,0.00702126,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1279.720,1064.830,B,1277.374,1066.573
monohull,fixed,ct,4,0.4754860,0.00725689,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1323.690,1036.560,B,1320.676,1035.042
monohull,fixed,ct,5,0.4991187,0.00723673,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1371.660,1037.810,B,1371.543,1038.909
monohull,fixed,ct,6,0.4997877,0.00747122,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1373.280,1009.920,B,1372.721,1007.284
monohull,fixed,ct,7,0.5105800,0.00765355,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1395.640,985.080,B,1395.497,985.848
monohull,fixed,ct,8,0.5218303,0.00740199,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1419.070,1018.260,B,1419.118,1016.516
monohull,fixed,ct,9,0.5427916,0.00727742,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1463.220,1031.640,B,1462.633,1034.752
monohull,fixed,ct,10,0.5533855,0.00751277,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1485.050,1003.640,B,1485.109,1003.020
monohull,fixed,ct,11,0.5550949,0.00706771,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1488.620,1061.220,B,1488.688,1058.395
monohull,fixed,ct,12,0.5864117,0.00732097,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1554.220,1027.370,B,1554.062,1027.969
monohull,fixed,ct,13,0.5915315,0.00683473,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1565.020,1088.690,B,1564.674,1090.055
monohull,fixed,ct,14,0.6301304,0.00653741,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1645.300,1128.760,B,1645.823,1125.446
monohull,fixed,ct,15,0.6323646,0.00706050,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1650.440,1060.140,B,1650.027,1061.304
monohull,fixed,ct,16,0.6747392,0.00634195,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1738.880,1151.250,B,1738.807,1152.564
monohull,fixed,ct,17,0.7192815,0.00613193,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1831.950,1179.710,B,1832.023,1177.405
monohull,fixed,ct,18,0.7628897,0.00613284,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,1923.100,1177.870,B,1923.252,1179.014
monohull,fixed,ct,19,0.8075045,0.00592694,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,2016.670,1205.670,B,2016.271,1203.472
monohull,fixed,ct,20,0.8529368,0.00596481,dimensionless,0.002000,0.00008000,135,244,254,2,independent pixel-center match; averaged,2111.740,1199.010,B,2111.209,1200.522
