# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 247; Figures 141,142
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_4,fixed,ct,1,0.1846055,0.00575295,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,724.800,1227.640,B,724.475,1228.213
s_l_0_4,fixed,ct,2,0.1975279,0.00535623,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,749.190,1275.320,B,754.043,1281.139
s_l_0_4,fixed,ct,3,0.2091060,0.00546632,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,775.620,1264.580,B,775.958,1263.961
s_l_0_4,fixed,ct,4,0.2298730,0.00552129,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,818.570,1257.810,B,819.722,1256.792
s_l_0_4,fixed,ct,5,0.2367363,0.00559386,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,831.060,1245.830,B,835.890,1250.366
s_l_0_4,fixed,ct,6,0.2608320,0.00535057,dimensionless,0.002528,0.00008000,141,247,257,2,independent pixel-center match; averaged,889.060,1280.690,B,878.503,1277.206
s_l_0_4,fixed,ct,7,0.2756267,0.00566457,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,915.340,1239.460,B,913.999,1238.806
s_l_0_4,fixed,ct,8,0.2860943,0.00614402,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,936.320,1178.670,B,936.727,1178.006
s_l_0_4,fixed,ct,9,0.2967178,0.00625028,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,958.880,1165.000,B,958.526,1164.730
s_l_0_4,fixed,ct,10,0.3061153,0.00607176,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,977.820,1187.760,B,978.826,1187.241
s_l_0_4,fixed,ct,11,0.3182500,0.00580970,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1004.570,1217.620,B,1002.745,1223.840
s_l_0_4,fixed,ct,12,0.3291623,0.00561956,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1027.020,1246.360,B,1025.860,1243.319
s_l_0_4,fixed,ct,13,0.3515699,0.00568636,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1072.690,1237.320,B,1073.754,1235.420
s_l_0_4,fixed,ct,14,0.3617393,0.00587366,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1095.120,1215.750,B,1093.787,1209.489
s_l_0_4,fixed,ct,15,0.3728073,0.00630179,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1117.650,1156.780,B,1117.472,1159.885
s_l_0_4,fixed,ct,16,0.3832255,0.00685931,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1140.880,1082.080,B,1137.744,1093.198
s_l_0_4,fixed,ct,17,0.3853896,0.00668699,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1144.160,1106.230,B,1143.500,1112.750
s_l_0_4,fixed,ct,18,0.3904809,0.00699594,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1154.850,1070.290,B,1154.069,1070.339
s_l_0_4,fixed,ct,19,0.4059250,0.00758974,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1188.930,993.140,B,1184.477,996.903
s_l_0_4,fixed,ct,20,0.4188654,0.00804812,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1211.550,931.970,B,1215.890,941.827
s_l_0_4,fixed,ct,21,0.4400091,0.00825518,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1258.350,910.620,B,1257.377,910.666
s_l_0_4,fixed,ct,22,0.4571266,0.00835624,dimensionless,0.002000,0.00008000,141,247,257,2,independent pixel-center match; averaged,1293.420,902.380,B,1293.782,893.278
s_l_0_4,fixed,ct,23,0.4698909,0.00840221,dimensionless,0.003473,0.00008000,141,247,257,2,independent pixel-center match; averaged,1327.500,893.000,B,1313.000,891.000
s_l_0_4,fixed,ct,24,0.4810269,0.00847777,dimensionless,0.003942,0.00008000,141,247,257,2,independent pixel-center match; averaged,1351.730,878.560,B,1335.269,886.277
s_l_0_4,fixed,ct,25,0.4850965,0.00849909,dimensionless,0.002000,0.00008000,141,247,257,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1351.996,879.715
