# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258,259; Figures 161,162,163
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
monohull,free,ct,1,0.4073601,0.00688793,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1172.520,1051.430,B,1172.196,1050.923
monohull,free,ct,2,0.4176784,0.00761403,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1193.830,957.580,B,1193.948,961.070
monohull,free,ct,3,0.4318120,0.00814909,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1221.550,889.400,B,1225.212,893.880
monohull,free,ct,4,0.4477096,0.00836339,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1255.450,861.150,B,1257.658,867.913
monohull,free,ct,5,0.4661493,0.00859450,dimensionless,0.002138,0.00008000,161,258,268,2,independent pixel-center match; averaged,1290.570,834.470,B,1299.493,836.122
monohull,free,ct,6,0.4743674,0.00858053,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1311.930,838.640,B,1312.430,835.486
monohull,free,ct,7,0.4856919,0.00875230,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1335.710,814.310,B,1335.911,816.358
monohull,free,ct,8,0.4993141,0.00867085,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1361.200,825.780,B,1367.271,825.496
monohull,free,ct,9,0.5078809,0.00865038,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1382.030,828.340,B,1382.193,828.115
monohull,free,ct,10,0.5293458,0.00865153,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1426.870,827.430,B,1426.933,828.732
monohull,free,ct,11,0.5515405,0.00844250,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1473.060,855.450,B,1473.369,853.597
monohull,free,ct,12,0.5743146,0.00830569,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1520.910,871.110,B,1520.563,872.551
monohull,free,ct,13,0.6087899,0.00798938,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1592.710,910.790,B,1592.640,912.897
monohull,free,ct,14,0.6542529,0.00751764,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1687.790,972.630,B,1687.292,970.407
monohull,free,ct,15,0.6986419,0.00720029,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1779.840,1012.880,B,1780.492,1010.447
monohull,free,ct,16,0.7242463,0.00719058,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1833.550,1012.460,B,1833.638,1013.323
monohull,free,ct,17,0.7450443,0.00690978,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1876.860,1048.670,B,1877.125,1048.155
monohull,free,ct,18,0.7867700,0.00680918,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,1964.310,1059.910,B,1963.810,1062.368
monohull,free,ct,19,0.8201327,0.00659390,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,2033.460,1090.930,B,2033.894,1085.813
monohull,free,ct,20,0.8293137,0.00662758,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,2056.450,1083.660,B,2049.219,1084.562
monohull,free,ct,21,0.8769367,0.00636052,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,2152.210,1117.970,B,2152.206,1117.818
monohull,free,ct,22,0.9211072,0.00623238,dimensionless,0.002000,0.00008000,161,258,268,2,independent pixel-center match; averaged,2244.420,1135.200,B,2244.334,1133.009
monohull,free,cwp,1,0.4521547,0.00403057,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1259.000,1023.000,B,1256.224,1027.266
monohull,free,cwp,2,0.4637269,0.00391500,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1282.000,1039.000,B,1281.570,1040.506
monohull,free,cwp,3,0.4647329,0.00451271,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1284.000,965.000,B,1283.773,963.285
monohull,free,cwp,4,0.4736704,0.00423224,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1303.000,999.000,B,1302.112,1000.243
monohull,free,cwp,5,0.4856821,0.00518993,dimensionless,0.002000,0.00008000,163,259,269,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1327.647,878.474
monohull,free,cwp,6,0.4974785,0.00448319,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1352.000,968.000,B,1352.577,967.752
monohull,free,cwp,7,0.5079418,0.00445874,dimensionless,0.002000,0.00008000,163,259,269,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1374.145,970.969
monohull,free,cwp,8,0.5184016,0.00407645,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1396.000,1020.000,B,1395.989,1018.657
monohull,free,cwp,9,0.5292311,0.00461004,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1419.000,951.000,B,1418.232,952.661
monohull,free,cwp,10,0.5509479,0.00416569,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1464.000,1009.000,B,1463.960,1007.080
monohull,free,cwp,11,0.5546001,0.00382027,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1472.000,1052.000,B,1471.218,1051.471
monohull,free,cwp,12,0.5739266,0.00394772,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1512.000,1036.000,B,1511.960,1035.226
monohull,free,cwp,13,0.6082073,0.00407776,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1584.000,1020.000,B,1583.177,1018.326
monohull,free,cwp,14,0.6298281,0.00378514,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1628.000,1057.000,B,1629.504,1055.359
monohull,free,cwp,15,0.6540240,0.00362246,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1679.000,1076.000,B,1679.589,1077.517
monohull,free,cwp,16,0.6848219,0.00345030,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1744.000,1098.000,B,1743.256,1099.075
monohull,free,cwp,17,0.7231832,0.00305273,dimensionless,0.002000,0.00008000,163,259,269,2,independent pixel-center match; averaged,1824.000,1149.000,B,1823.521,1148.659
