# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 264,265; Figures 173,174,175
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_4,free,ct,1,0.3258562,0.00527033,dimensionless,0.002000,0.00008000,173,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,988.549,1180.576
s_l_0_4,free,ct,2,0.3260625,0.00601411,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,986.520,1086.900,B,991.445,1085.928
s_l_0_4,free,ct,3,0.3363778,0.00531744,dimensionless,0.002000,0.00008000,173,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1010.656,1174.612
s_l_0_4,free,ct,4,0.3431533,0.00597868,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1026.000,1088.700,B,1023.784,1093.097
s_l_0_4,free,ct,5,0.3518724,0.00520586,dimensionless,0.002000,0.00008000,173,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1043.212,1188.738
s_l_0_4,free,ct,6,0.3521585,0.00611237,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1043.480,1071.740,B,1044.146,1076.208
s_l_0_4,free,ct,7,0.3586984,0.00550715,dimensionless,0.002000,0.00008000,173,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1057.554,1150.595
s_l_0_4,free,ct,8,0.3642911,0.00653990,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1068.950,1019.510,B,1069.660,1020.187
s_l_0_4,free,ct,9,0.3795780,0.00702214,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1103.720,958.190,B,1099.129,959.405
s_l_0_4,free,ct,10,0.3834448,0.00595319,dimensionless,0.002000,0.00008000,173,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1109.549,1094.126
s_l_0_4,free,ct,11,0.3859547,0.00765346,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1115.390,879.110,B,1114.255,878.635
s_l_0_4,free,ct,12,0.3979012,0.00853771,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1140.150,765.330,B,1139.697,768.521
s_l_0_4,free,ct,13,0.4079837,0.00878415,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1160.970,736.110,B,1161.246,735.343
s_l_0_4,free,ct,14,0.4082479,0.00906954,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1161.570,698.780,B,1161.756,700.413
s_l_0_4,free,ct,15,0.4281578,0.00974462,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1199.810,612.270,B,1207.182,615.992
s_l_0_4,free,ct,16,0.4357352,0.00972063,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1219.060,616.470,B,1219.774,617.867
s_l_0_4,free,ct,17,0.4432079,0.01020252,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1235.040,555.760,B,1235.196,556.562
s_l_0_4,free,ct,18,0.4536357,0.01003107,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1257.110,578.400,B,1256.946,577.332
s_l_0_4,free,ct,19,0.4585160,0.01036380,dimensionless,0.002000,0.00008000,173,264,274,2,independent pixel-center match; averaged,1266.150,535.590,B,1268.414,535.895
