pass	figure	pdf_page	printed_page	separation_over_length	model	hull	line_style	relative_position_description	fn_anchor	pixel_x	pixel_y	pixel_x_left	pixel_x_right	pixel_y_top	pixel_y_bottom	identity_basis
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.150	638.778	2631.675	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.155	649.156	2610.384	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.160	659.533	2633.454	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.165	669.911	2661.013	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.170	680.289	2732.766	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.175	690.667	2766.029	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.180	701.044	2777.256	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.185	711.422	2761.527	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.190	721.800	2733.644	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.195	732.178	2688.129	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.200	742.556	2676.388	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.205	752.933	2693.661	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.210	763.311	2771.215	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.215	773.689	2770.313	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.220	784.067	2768.924	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.225	794.444	2772.203	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.230	804.822	2775.340	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.235	815.200	2802.185	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.240	825.578	2848.866	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.245	835.956	2917.942	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.250	846.333	2956.745	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.255	856.711	2937.967	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.260	867.089	2791.312	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.265	877.467	2767.131	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.270	887.844	2669.301	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.275	898.222	2595.036	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.280	908.600	2541.121	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.285	918.978	2589.000	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.290	929.356	2636.584	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.295	939.733	2687.961	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.300	950.111	2771.310	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.305	960.489	2833.959	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.310	970.867	2891.694	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.315	981.244	2933.852	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.320	991.622	2990.669	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.325	1002.000	3010.405	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.330	1012.378	3039.838	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.335	1022.756	3023.000	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.340	1033.133	2989.138	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.345	1043.511	2941.059	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.350	1053.889	2865.150	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.355	1064.267	2811.925	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.360	1074.644	2687.961	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.365	1085.022	2668.946	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.370	1095.400	2587.042	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
A	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.375	1105.778	2536.150	535	2403	2053	3318	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
