pass	figure	pdf_page	printed_page	separation_over_length	model	hull	line_style	relative_position_description	fn_anchor	pixel_x	pixel_y	pixel_x_left	pixel_x_right	pixel_y_top	pixel_y_bottom	identity_basis
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.150	639.667	2619.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.155	650.033	2611.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.160	660.400	2632.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.165	670.767	2661.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.170	681.133	2734.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.175	691.500	2767.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.180	701.867	2777.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.185	712.233	2759.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.190	722.600	2732.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.195	732.967	2686.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
B	360	368	358	0.3	C2	Wigley hull	solid	solid C2: oscillatory left branch; leftmost principal crest near Fn 0.41	0.200	743.333	2677.000	536	2402	2054	3317	LEGEND-AUDIT-H1.md; identity added without changing archived pixel reading
