pass	figure	pdf_page	printed_page	separation_over_length	model	hull	line_style	relative_position_description	fn_anchor	pixel_x	pixel_y	pixel_x_left	pixel_x_right	pixel_y_top	pixel_y_bottom
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.350	1423.722	1071.460	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.355	1437.617	1155.000	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.360	1451.511	1245.260	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.365	1465.406	1315.000	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.370	1479.300	1427.000	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.375	1493.194	1497.307	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.380	1507.089	1472.612	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.385	1520.983	1423.823	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.390	1534.878	1421.151	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.395	1548.772	1387.564	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.400	1562.667	1327.629	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.405	1576.561	1314.014	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.410	1590.456	1263.434	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.415	1604.350	1219.694	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.420	1618.244	1182.989	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.425	1632.139	1127.000	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.430	1646.033	1099.591	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.435	1659.928	1051.909	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.440	1673.822	1055.233	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.445	1687.717	1020.912	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.450	1701.611	1000.765	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.455	1715.506	972.065	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.460	1729.400	949.180	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.465	1743.294	933.580	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.470	1757.189	915.289	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.475	1771.083	907.809	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.480	1784.978	901.874	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.485	1798.872	900.178	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.490	1812.767	900.464	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.495	1826.661	903.988	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.500	1840.556	905.230	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.505	1854.450	911.145	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.510	1868.344	915.652	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.515	1882.239	926.600	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.520	1896.133	930.520	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.525	1910.028	936.160	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.530	1923.922	939.994	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.535	1937.817	944.443	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.540	1951.711	949.935	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.545	1965.606	955.316	729	3230	407	2106
A	347	362	352	0.2	C2	Wigley hull	solid	deep trough near Fn 0.38; solid broad crest below dashed C3	0.550	1979.500	960.281	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.350	1423.722	931.000	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.355	1437.617	947.000	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.360	1451.511	945.164	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.365	1465.406	939.774	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.370	1479.300	955.000	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.375	1493.194	964.000	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.380	1507.089	978.000	729	3230	407	2106
A	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	highest broad crest, displaced right of C2	0.385	1520.983	991.000	729	3230	407	2106
