pass	figure	pdf_page	printed_page	separation_over_length	model	hull	line_style	relative_position_description	fn_anchor	pixel_x	pixel_y	pixel_x_left	pixel_x_right	pixel_y_top	pixel_y_bottom
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.350	1424.611	1072.949	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.355	1438.483	1154.000	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.360	1452.356	1231.407	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.365	1466.228	1314.534	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.370	1480.100	1428.000	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.375	1493.972	1496.653	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.380	1507.844	1457.000	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.385	1521.717	1423.834	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.390	1535.589	1420.368	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.395	1549.461	1382.841	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.400	1563.333	1314.822	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.405	1577.206	1313.448	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.410	1591.078	1262.697	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.415	1604.950	1195.468	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.420	1618.822	1179.294	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.425	1632.694	1150.421	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.430	1646.567	1120.877	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.435	1660.439	1051.994	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.440	1674.311	1055.091	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.445	1688.183	1021.941	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.450	1702.056	992.063	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.455	1715.928	972.946	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.460	1729.800	935.987	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.465	1743.672	935.032	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.470	1757.544	914.608	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.475	1771.417	909.044	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.480	1785.289	902.202	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.485	1799.161	900.439	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.490	1813.033	902.535	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.495	1826.906	904.022	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.500	1840.778	905.823	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.505	1854.650	911.877	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.510	1868.522	932.150	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.515	1882.394	927.729	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.520	1896.267	931.143	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.525	1910.139	936.109	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.530	1924.011	940.194	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.535	1937.883	944.723	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.540	1951.756	949.937	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.545	1965.628	955.219	731	3228	409	2104
B	347	362	352	0.2	C2	Wigley hull	solid	solid trough then second-highest close-spacing crest	0.550	1979.500	960.008	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.350	1424.611	932.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.355	1438.483	946.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.360	1452.356	945.128	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.365	1466.228	941.748	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.370	1480.100	962.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.375	1493.972	972.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.380	1507.844	984.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.385	1521.717	996.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.390	1535.589	1008.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.395	1549.461	1039.418	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.400	1563.333	1039.551	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.405	1577.206	1038.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.410	1591.078	1019.000	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.415	1604.950	1019.585	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.420	1618.822	1026.067	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.425	1632.694	1043.913	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.430	1646.567	1047.088	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.435	1660.439	1051.621	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.440	1674.311	1046.972	731	3228	409	2104
B	347	362	352	0.2	C3	round-bilge hull, L/B 7	long dashed	uppermost right-shifted principal crest	0.445	1688.183	1021.941	731	3228	409	2104
