configuration,observable,figure,pass_b_rows,pass_c_rows,matched,pass_b_only,pass_c_only
monohull,ct,161,22,47,19,3,28
monohull,cwp,163,27,47,27,0,20
monohull,sinkage_over_draught,162,40,25,19,21,6
monohull,trim,162,22,42,22,0,20
s_l_0_2,ct,165,26,44,20,6,24
s_l_0_2,cwp,167,16,41,16,0,25
s_l_0_2,sinkage_over_draught,166,35,19,12,23,7
s_l_0_2,trim,166,14,43,14,0,29
s_l_0_3,ct,169,25,48,21,4,27
s_l_0_3,cwp,171,14,37,12,2,25
s_l_0_3,sinkage_over_draught,170,40,19,15,25,4
s_l_0_3,trim,170,22,34,20,2,14
s_l_0_4,ct,173,44,64,28,16,36
s_l_0_4,cwp,175,26,25,19,7,6
s_l_0_4,sinkage_over_draught,174,26,42,15,11,27
s_l_0_4,trim,174,32,49,29,3,20
s_l_0_5,ct,177,40,32,18,22,14
s_l_0_5,cwp,179,28,40,23,5,17
s_l_0_5,sinkage_over_draught,178,24,30,13,11,17
s_l_0_5,trim,178,33,51,27,6,24
