pass	figure	pdf_page	printed_page	separation_over_length	model	hull	line_style	relative_position_description	fn_anchor	pixel_x	pixel_y	pixel_x_left	pixel_x_right	pixel_y_top	pixel_y_bottom
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.150	638.778	982.180	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.155	649.156	1005.493	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.160	659.533	994.000	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.165	669.911	1023.920	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.170	680.289	1017.977	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.175	690.667	1010.013	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.180	701.044	986.693	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.185	711.422	955.086	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.190	721.800	926.254	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.195	732.178	901.143	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.200	742.556	895.824	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.205	752.933	949.256	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.210	763.311	1015.326	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.215	773.689	1060.144	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.220	784.067	1130.000	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.225	794.444	1160.229	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.230	804.822	1110.298	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.235	815.200	1059.252	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.240	825.578	1052.852	535	2403	314	1582
A	359	368	358	0.2	C2	Wigley hull	solid	oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45	0.245	835.956	1001.929	535	2403	314	1582
