pass	figure	pdf_page	printed_page	separation_over_length	model	hull	line_style	relative_position_description	fn_anchor	pixel_x	pixel_y	pixel_x_left	pixel_x_right	pixel_y_top	pixel_y_bottom
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.150	639.667	979.499	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.155	650.033	1004.047	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.160	660.400	1007.000	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.165	670.767	1015.468	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.170	681.133	996.418	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.175	691.500	1012.557	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.180	701.867	991.558	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.185	712.233	966.444	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.190	722.600	940.000	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.195	732.967	910.484	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.200	743.333	894.598	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.205	753.700	947.343	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.210	764.067	993.746	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.215	774.433	1013.394	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.220	784.800	1059.933	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.225	795.167	1098.033	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.230	805.533	1123.657	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.235	815.900	1077.000	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.240	826.267	1052.949	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.245	836.633	1001.268	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.250	847.000	965.683	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.255	857.367	964.607	536	2402	315	1581
B	359	368	358	0.2	C2	Wigley hull	solid	oscillatory left branch and uniquely high broad crest	0.260	867.733	1040.975	536	2402	315	1581
