attitude,configuration,observable,figure,mismatch,resolution,x_px,y_px
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,720.980,1312.930
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,860.590,1316.240
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,906.640,1314.160
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,931.760,1287.620
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,949.470,1257.240
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,979.900,1238.910
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1000.120,1245.240
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1021.080,1254.460
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1047.490,1253.000
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1057.360,1271.500
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1071.350,1270.280
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1090.100,1256.980
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1117.220,1244.730
fixed,monohull,ct,135,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1137.380,1216.750
fixed,monohull,cwp,136,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,601.000,3313.000
fixed,monohull,cwp,136,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,650.000,3313.000
fixed,monohull,cwp,136,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,682.000,3313.000
fixed,monohull,cwp,136,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,713.000,3304.000
fixed,monohull,cwp,136,pass_a_missing,accepted_pass_b_after_source_curve_recheck,929.561,3214.410
fixed,monohull,cwp,136,pass_a_missing,accepted_pass_b_after_source_curve_recheck,2103.685,3085.236
fixed,monohull,cwp,136,pass_a_missing,accepted_pass_b_after_source_curve_recheck,2199.349,3082.780
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,713.000,1249.000
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,803.110,1253.640
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,811.290,1281.000
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,859.620,1255.500
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,883.700,1233.300
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,907.120,1243.650
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,908.630,1262.710
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,920.480,1241.850
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,935.360,1221.070
fixed,s_l_0_2,ct,137,pass_a_missing,accepted_pass_b_after_source_curve_recheck,954.890,1148.785
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,963.710,1259.140
fixed,s_l_0_2,ct,137,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1004.050,1041.360
fixed,s_l_0_2,ct,137,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1086.539,1189.056
