# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 244; PDF page 254; Figures 135 and 136
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
monohull,fixed,ct,1,720.98,1312.93,0.188459,0.0050730,0.003,0.00005,135
monohull,fixed,ct,2,860.59,1316.24,0.255221,0.0050469,0.003,0.00005,135
monohull,fixed,ct,3,906.64,1314.16,0.277245,0.0050634,0.003,0.00005,135
monohull,fixed,ct,4,931.76,1287.62,0.289260,0.0052725,0.003,0.00005,135
monohull,fixed,ct,5,949.47,1257.24,0.297728,0.0055119,0.003,0.00005,135
monohull,fixed,ct,6,979.90,1238.91,0.312281,0.0056563,0.003,0.00005,135
monohull,fixed,ct,7,1000.12,1245.24,0.321950,0.0056064,0.003,0.00005,135
monohull,fixed,ct,8,1021.08,1254.46,0.331974,0.0055338,0.003,0.00005,135
monohull,fixed,ct,9,1047.49,1253.00,0.344600,0.0055453,0.003,0.00005,135
monohull,fixed,ct,10,1057.36,1271.50,0.349324,0.0053995,0.003,0.00005,135
monohull,fixed,ct,11,1071.35,1270.28,0.356012,0.0054092,0.003,0.00005,135
monohull,fixed,ct,12,1090.10,1256.98,0.364980,0.0055140,0.003,0.00005,135
monohull,fixed,ct,13,1117.22,1244.73,0.377949,0.0056105,0.003,0.00005,135
monohull,fixed,ct,14,1137.38,1216.75,0.387586,0.0058310,0.003,0.00005,135
monohull,fixed,ct,15,1184.31,1163.20,0.410030,0.0062529,0.003,0.00005,135
monohull,fixed,ct,16,1232.08,1100.79,0.432876,0.0067448,0.003,0.00005,135
monohull,fixed,ct,17,1279.72,1064.83,0.455658,0.0070281,0.003,0.00005,135
monohull,fixed,ct,18,1323.69,1036.56,0.476683,0.0072509,0.003,0.00005,135
monohull,fixed,ct,19,1371.66,1037.81,0.499624,0.0072410,0.003,0.00005,135
monohull,fixed,ct,20,1373.28,1009.92,0.500398,0.0074608,0.003,0.00005,135
monohull,fixed,ct,21,1395.64,985.08,0.511091,0.0076566,0.003,0.00005,135
monohull,fixed,ct,22,1419.07,1018.26,0.522299,0.0073951,0.003,0.00005,135
monohull,fixed,ct,23,1463.22,1031.64,0.543411,0.0072896,0.003,0.00005,135
monohull,fixed,ct,24,1485.05,1003.64,0.553848,0.0075103,0.003,0.00005,135
monohull,fixed,ct,25,1488.62,1061.22,0.555557,0.0070566,0.003,0.00005,135
monohull,fixed,ct,26,1554.22,1027.37,0.586926,0.0073233,0.003,0.00005,135
monohull,fixed,ct,27,1565.02,1088.69,0.592093,0.0068401,0.003,0.00005,135
monohull,fixed,ct,28,1645.30,1128.76,0.630486,0.0065243,0.003,0.00005,135
monohull,fixed,ct,29,1650.44,1060.14,0.632944,0.0070651,0.003,0.00005,135
monohull,fixed,ct,30,1738.88,1151.25,0.675232,0.0063471,0.003,0.00005,135
monohull,fixed,ct,31,1831.95,1179.71,0.719744,0.0061229,0.003,0.00005,135
monohull,fixed,ct,32,1923.10,1177.87,0.763330,0.0061373,0.003,0.00005,135
monohull,fixed,ct,33,2016.67,1205.67,0.808077,0.0059183,0.003,0.00005,135
monohull,fixed,ct,34,2111.74,1199.01,0.853544,0.0059708,0.003,0.00005,135
monohull,fixed,ct,35,2207.87,1222.41,0.899514,0.0057864,0.003,0.00005,135
monohull,fixed,cwp,1,601.00,3313.00,0.133085,0.0000315,0.003,0.00005,136
