# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed page 246; PDF page 256; Figures 139 and 140
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,coefficient,fn_digitization_uncertainty,coefficient_digitization_uncertainty,source_figure
s_l_0_3,fixed,ct,1,667.85,1299.53,0.162062,0.0054012,0.003,0.00005,139
s_l_0_3,fixed,ct,2,683.12,1286.04,0.169364,0.0055076,0.003,0.00005,139
s_l_0_3,fixed,ct,3,721.38,1288.62,0.187650,0.0054872,0.003,0.00005,139
s_l_0_3,fixed,ct,4,754.17,1311.53,0.203322,0.0053065,0.003,0.00005,139
s_l_0_3,fixed,ct,5,764.05,1337.24,0.208042,0.0051038,0.003,0.00005,139
s_l_0_3,fixed,ct,6,774.76,1303.62,0.213163,0.0053689,0.003,0.00005,139
s_l_0_3,fixed,ct,7,799.23,1311.21,0.224855,0.0053091,0.003,0.00005,139
s_l_0_3,fixed,ct,8,813.94,1281.92,0.231889,0.0055401,0.003,0.00005,139
s_l_0_3,fixed,ct,9,838.93,1264.28,0.243834,0.0056792,0.003,0.00005,139
s_l_0_3,fixed,ct,10,855.43,1260.32,0.251721,0.0057104,0.003,0.00005,139
s_l_0_3,fixed,ct,11,874.77,1288.58,0.260964,0.0054875,0.003,0.00005,139
s_l_0_3,fixed,ct,12,892.62,1295.20,0.269496,0.0054354,0.003,0.00005,139
s_l_0_3,fixed,ct,13,909.10,1291.74,0.277373,0.0054626,0.003,0.00005,139
s_l_0_3,fixed,ct,14,942.47,1210.44,0.293318,0.0061038,0.003,0.00005,139
s_l_0_3,fixed,ct,15,975.64,1143.14,0.309176,0.0066345,0.003,0.00005,139
s_l_0_3,fixed,ct,16,995.60,1162.90,0.318717,0.0064787,0.003,0.00005,139
s_l_0_3,fixed,ct,17,1008.34,1194.12,0.324806,0.0062325,0.003,0.00005,139
s_l_0_3,fixed,ct,18,1028.12,1243.75,0.334260,0.0058411,0.003,0.00005,139
s_l_0_3,fixed,ct,19,1064.86,1292.19,0.351821,0.0054591,0.003,0.00005,139
s_l_0_3,fixed,ct,20,1089.51,1311.81,0.363598,0.0053044,0.003,0.00005,139
s_l_0_3,fixed,ct,21,1100.81,1292.80,0.369000,0.0054543,0.003,0.00005,139
s_l_0_3,fixed,ct,22,1138.83,1202.65,0.387171,0.0061652,0.003,0.00005,139
s_l_0_3,fixed,ct,23,1161.64,1113.64,0.398077,0.0068672,0.003,0.00005,139
s_l_0_3,fixed,ct,24,1215.42,931.54,0.423779,0.0083033,0.003,0.00005,139
s_l_0_3,fixed,ct,25,1287.71,842.69,0.458332,0.0090040,0.003,0.00005,139
s_l_0_3,fixed,ct,26,1322.88,836.90,0.475143,0.0090497,0.003,0.00005,139
s_l_0_3,fixed,ct,27,1367.91,847.19,0.496667,0.0089685,0.003,0.00005,139
s_l_0_3,fixed,ct,28,1413.16,841.08,0.518291,0.0090167,0.003,0.00005,139
s_l_0_3,fixed,ct,29,1459.34,894.11,0.540366,0.0085985,0.003,0.00005,139
s_l_0_3,fixed,ct,30,1483.41,889.97,0.551870,0.0086312,0.003,0.00005,139
s_l_0_3,fixed,ct,31,1527.70,941.34,0.573037,0.0082260,0.003,0.00005,139
s_l_0_3,fixed,ct,32,1529.08,965.91,0.573696,0.0080323,0.003,0.00005,139
s_l_0_3,fixed,ct,33,1553.86,930.99,0.585540,0.0083077,0.003,0.00005,139
s_l_0_3,fixed,ct,34,1565.62,991.12,0.591162,0.0078334,0.003,0.00005,139
s_l_0_3,fixed,ct,35,1596.11,995.67,0.605736,0.0077976,0.003,0.00005,139
s_l_0_3,fixed,ct,36,1645.37,1041.34,0.629279,0.0074374,0.003,0.00005,139
s_l_0_3,fixed,ct,37,1645.78,1023.20,0.629477,0.0075805,0.003,0.00005,139
s_l_0_3,fixed,ct,38,1665.19,1049.53,0.638755,0.0073728,0.003,0.00005,139
s_l_0_3,fixed,ct,39,1737.93,1081.93,0.673521,0.0071172,0.003,0.00005,139
s_l_0_3,fixed,ct,40,1739.16,1049.19,0.674108,0.0073755,0.003,0.00005,139
s_l_0_3,fixed,ct,41,1806.77,1107.22,0.706424,0.0069178,0.003,0.00005,139
s_l_0_3,fixed,ct,42,1831.43,1109.06,0.718211,0.0069033,0.003,0.00005,139
s_l_0_3,fixed,ct,43,1874.36,1114.73,0.738725,0.0068586,0.003,0.00005,139
s_l_0_3,fixed,cwp,1,681.00,3334.00,0.170485,0.0000552,0.003,0.00005,140
s_l_0_3,fixed,cwp,2,717.00,3332.00,0.187746,0.0000710,0.003,0.00005,140
s_l_0_3,fixed,cwp,3,748.00,3320.00,0.202611,0.0001656,0.003,0.00005,140
s_l_0_3,fixed,cwp,4,773.00,3309.00,0.214598,0.0002524,0.003,0.00005,140
s_l_0_3,fixed,cwp,5,795.00,3322.00,0.225147,0.0001498,0.003,0.00005,140
s_l_0_3,fixed,cwp,6,809.00,3283.00,0.231859,0.0004574,0.003,0.00005,140
