# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258 and 259; PDF pages 268 and 269; Figures 161, 162, and 163
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
monohull,free,ct,1,652.06,1202.78,0.158558,0.0056895,dimensionless,0.003,0.00005,161
monohull,free,ct,2,669.92,1237.68,0.167126,0.0054136,dimensionless,0.003,0.00005,161
monohull,free,ct,3,677.17,1249.46,0.170605,0.0053205,dimensionless,0.003,0.00005,161
monohull,free,ct,4,710.53,1225.18,0.186607,0.0055124,dimensionless,0.003,0.00005,161
monohull,free,ct,5,725.47,1247.90,0.193773,0.0053328,dimensionless,0.003,0.00005,161
monohull,free,ct,6,763.39,1224.80,0.211967,0.0055154,dimensionless,0.003,0.00005,161
monohull,free,ct,7,821.98,1214.47,0.240073,0.0055971,dimensionless,0.003,0.00005,161
monohull,free,ct,8,826.17,1255.56,0.242087,0.0052722,dimensionless,0.003,0.00005,161
monohull,free,ct,9,835.69,1223.58,0.246653,0.0055250,dimensionless,0.003,0.00005,161
monohull,free,ct,10,849.10,1233.00,0.253086,0.0054506,dimensionless,0.003,0.00005,161
monohull,free,ct,11,858.40,1254.46,0.257550,0.0052810,dimensionless,0.003,0.00005,161
monohull,free,ct,12,888.12,1240.07,0.271804,0.0053947,dimensionless,0.003,0.00005,161
monohull,free,ct,13,921.05,1194.95,0.287602,0.0057514,dimensionless,0.003,0.00005,161
monohull,free,ct,14,941.84,1190.40,0.297580,0.0057874,dimensionless,0.003,0.00005,161
monohull,free,ct,15,951.46,1160.66,0.302194,0.0060225,dimensionless,0.003,0.00005,161
monohull,free,ct,16,969.83,1163.57,0.311005,0.0059995,dimensionless,0.003,0.00005,161
monohull,free,ct,17,971.36,1144.90,0.311740,0.0061471,dimensionless,0.003,0.00005,161
monohull,free,ct,18,987.70,1156.76,0.319577,0.0060532,dimensionless,0.003,0.00005,161
monohull,free,ct,19,1021.91,1174.07,0.335992,0.0059164,dimensionless,0.003,0.00005,161
monohull,free,ct,20,1047.62,1167.96,0.348327,0.0059648,dimensionless,0.003,0.00005,161
monohull,free,ct,21,1076.64,1166.47,0.362249,0.0059766,dimensionless,0.003,0.00005,161
monohull,free,ct,22,1088.79,624.79,0.368077,0.0102586,dimensionless,0.003,0.00005,161
monohull,free,ct,23,1101.66,1145.92,0.374249,0.0061389,dimensionless,0.003,0.00005,161
monohull,free,ct,24,1118.56,628.55,0.382358,0.0102289,dimensionless,0.003,0.00005,161
monohull,free,ct,25,1123.58,1127.84,0.384765,0.0062819,dimensionless,0.003,0.00005,161
monohull,free,ct,26,1137.04,629.62,0.391225,0.0102204,dimensionless,0.003,0.00005,161
monohull,free,ct,27,1148.88,1108.81,0.396906,0.0064323,dimensionless,0.003,0.00005,161
monohull,free,ct,28,1172.52,1051.43,0.408246,0.0068859,dimensionless,0.003,0.00005,161
monohull,free,ct,29,1193.83,957.58,0.418470,0.0076278,dimensionless,0.003,0.00005,161
monohull,free,ct,30,1221.55,889.40,0.431765,0.0081668,dimensionless,0.003,0.00005,161
monohull,free,ct,31,1231.49,904.33,0.436535,0.0080487,dimensionless,0.003,0.00005,161
monohull,free,ct,32,1241.34,855.93,0.441259,0.0084314,dimensionless,0.003,0.00005,161
monohull,free,ct,33,1255.45,861.15,0.448029,0.0083901,dimensionless,0.003,0.00005,161
monohull,free,ct,34,1266.23,876.78,0.453204,0.0082666,dimensionless,0.003,0.00005,161
monohull,free,ct,35,1290.57,834.47,0.464879,0.0086010,dimensionless,0.003,0.00005,161
monohull,free,ct,36,1311.93,838.64,0.475124,0.0085680,dimensionless,0.003,0.00005,161
monohull,free,ct,37,1335.71,814.31,0.486535,0.0087604,dimensionless,0.003,0.00005,161
monohull,free,ct,38,1361.20,825.78,0.498764,0.0086697,dimensionless,0.003,0.00005,161
monohull,free,ct,39,1382.03,828.34,0.508754,0.0086495,dimensionless,0.003,0.00005,161
monohull,free,ct,40,1426.87,827.43,0.530267,0.0086567,dimensionless,0.003,0.00005,161
monohull,free,ct,41,1473.06,855.45,0.552429,0.0084352,dimensionless,0.003,0.00005,161
monohull,free,ct,42,1520.91,871.11,0.575381,0.0083114,dimensionless,0.003,0.00005,161
monohull,free,ct,43,1592.71,910.79,0.609827,0.0079977,dimensionless,0.003,0.00005,161
monohull,free,ct,44,1687.79,972.63,0.655441,0.0075088,dimensionless,0.003,0.00005,161
monohull,free,ct,45,1779.84,1012.88,0.699603,0.0071907,dimensionless,0.003,0.00005,161
monohull,free,ct,46,1833.55,1012.46,0.725369,0.0071940,dimensionless,0.003,0.00005,161
monohull,free,ct,47,1876.86,1048.67,0.746150,0.0069078,dimensionless,0.003,0.00005,161
monohull,free,ct,48,1964.31,1059.91,0.788103,0.0068189,dimensionless,0.003,0.00005,161
monohull,free,ct,49,2033.46,1090.93,0.821275,0.0065737,dimensionless,0.003,0.00005,161
monohull,free,ct,50,2056.45,1083.66,0.832303,0.0066311,dimensionless,0.003,0.00005,161
monohull,free,ct,51,2152.21,1117.97,0.878244,0.0063599,dimensionless,0.003,0.00005,161
monohull,free,ct,52,2244.42,1135.20,0.922484,0.0062237,dimensionless,0.003,0.00005,161
