# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266 and 267; PDF pages 276 and 277; Figures 177, 178, and 179
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_5,free,ct,1,580.14,1193.69,0.129654,0.0058438,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,2,638.14,1204.16,0.157331,0.0057617,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,3,643.36,1242.38,0.159822,0.0054617,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,4,694.93,1223.08,0.184429,0.0056132,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,5,702.14,1241.83,0.187871,0.0054660,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,6,743.90,1224.68,0.207798,0.0056006,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,7,756.88,1243.71,0.213993,0.0054513,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,8,791.89,1211.41,0.230702,0.0057048,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,9,816.11,1225.46,0.242260,0.0055945,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,10,818.08,1208.71,0.243197,0.0057260,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,11,836.66,1217.90,0.252064,0.0056538,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,12,861.43,1197.42,0.263885,0.0058146,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,13,874.93,1200.67,0.270329,0.0057891,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,14,887.55,1185.27,0.276350,0.0059100,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,15,912.83,1151.86,0.288415,0.0061722,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,16,932.34,1136.00,0.297722,0.0062967,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,17,958.66,1136.35,0.310284,0.0062939,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,18,977.15,1144.54,0.319105,0.0062297,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,19,990.64,1151.94,0.325543,0.0061716,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,20,1004.96,1145.55,0.332378,0.0062218,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,21,1027.28,1150.96,0.343031,0.0061793,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,22,1047.22,1122.18,0.352545,0.0064052,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,23,1076.31,1091.07,0.366423,0.0066494,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,24,1096.34,1025.89,0.375983,0.0071610,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,25,1105.60,1007.34,0.380405,0.0073066,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,26,1118.64,982.95,0.386624,0.0074981,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,27,1140.86,914.86,0.397231,0.0080325,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,28,1162.04,863.50,0.407337,0.0084356,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,29,1163.43,876.24,0.407998,0.0083357,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,30,1167.09,851.54,0.409746,0.0085295,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,31,1201.05,779.97,0.425952,0.0090913,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,32,1222.51,771.84,0.436193,0.0091551,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,33,1234.32,731.21,0.441828,0.0094740,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,34,1268.71,707.88,0.458241,0.0096572,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,35,1279.94,733.26,0.463600,0.0094580,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,36,1305.23,710.41,0.475666,0.0096373,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,37,1337.25,727.64,0.490945,0.0095020,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,38,1350.03,719.34,0.497046,0.0095672,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,39,1355.00,1265.23,0.499417,0.0052823,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,40,1365.97,692.72,0.504653,0.0097762,dimensionless,0.003,0.00005,177
s_l_0_5,free,ct,41,1393.32,735.60,0.517702,0.0094395,dimensionless,0.003,0.00005,177
