figure	configuration	render_page	printed_page	pixel_x_left	pixel_x_right	x_left	x_right	pixel_y_top	pixel_y_bottom	y_top	y_bottom	y_quantity
135	C2-fixed-monohull	254	244	537	2419	0.1	1.0	307	1576	0.013	0.003	CT
137	C2-fixed-SL0.2	255	245	535	2413	0.1	1.0	303	1568	0.013	0.003	CT
139	C2-fixed-SL0.3	256	246	538	2420	0.1	1.0	335	1603	0.013	0.003	CT
141	C2-fixed-SL0.4	257	247	548	2427	0.1	1.0	309	1577	0.013	0.003	CT
143	C2-fixed-SL0.5	258	248	535	2418	0.1	1.0	296	1563	0.013	0.003	CT
136	C2-fixed-monohull	254	244	532	2409	0.1	1.0	2048	3317	0.01	0.0	CWP
138	C2-fixed-SL0.2	255	245	529	2402	0.1	1.0	2038	3307	0.01	0.0	CWP
140	C2-fixed-SL0.3	256	246	534	2411	0.1	1.0	2073	3341	0.01	0.0	CWP
142	C2-fixed-SL0.4	257	247	540	2415	0.1	1.0	2047	3317	0.01	0.0	CWP
144	C2-fixed-SL0.5	258	248	528	2407	0.1	1.0	2035	3305	0.01	0.0	CWP
161	C2-free-monohull	268	258	531	2409	0.1	1.0	278	1543	0.013	0.003	CT
165	C2-free-SL0.2	270	260	539	2412	0.1	1.0	337	1603	0.013	0.003	CT
169	C2-free-SL0.3	272	262	542	2426	0.1	1.0	292	1563	0.013	0.003	CT
173	C2-free-SL0.4	274	264	514	2405	0.1	1.0	202	1468	0.013	0.003	CT
177	C2-free-SL0.5	276	266	517	2406	0.1	1.0	282	1555	0.013	0.003	CT
163	C2-free-monohull	269	259	522	2402	0.1	1.0	270	1535	0.01	0.0	CWP
167	C2-free-SL0.2	271	261	524	2408	0.1	1.0	244	1514	0.01	0.0	CWP
171	C2-free-SL0.3	273	263	521	2408	0.1	1.0	265	1535	0.01	0.0	CWP
175	C2-free-SL0.4	275	265	523	2410	0.1	1.0	243	1511	0.01	0.0	CWP
179	C2-free-SL0.5	277	267	525	2411	0.1	1.0	244	1512	0.01	0.0	CWP
162	C2-free-monohull	268	258	524	2399	0.1	1.0	2080	3350	6.0|0.2	-3.0|-0.1	trim_deg_and_sinkage_over_draught
166	C2-free-SL0.2	270	260	523	2393	0.1	1.0	2145	3419	6.0|0.2	-3.0|-0.1	trim_deg_and_sinkage_over_draught
170	C2-free-SL0.3	272	262	536	2415	0.1	1.0	2037	3317	6.0|0.2	-3.0|-0.1	trim_deg_and_sinkage_over_draught
174	C2-free-SL0.4	274	264	507	2389	0.1	1.0	1942	3218	6.0|0.2	-3.0|-0.1	trim_deg_and_sinkage_over_draught
178	C2-free-SL0.5	276	266	510	2391	0.1	1.0	2026	3296	6.0|0.2	-3.0|-0.1	trim_deg_and_sinkage_over_draught
