configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-fixed-monohull	135	254	244	CT	1184.323	1162.900	0.409559	0.00625532	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1232.452	1102.351	0.432575	0.00673246	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1277.374	1066.573	0.454058	0.00701440	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1320.676	1035.042	0.474765	0.00726287	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1371.543	1038.909	0.499091	0.00723240	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1372.721	1007.284	0.499654	0.00748161	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1395.497	985.848	0.510546	0.00765052	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1419.118	1016.516	0.521842	0.00740886	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1462.633	1034.752	0.542651	0.00726516	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1485.109	1003.020	0.553400	0.00751521	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1488.688	1058.395	0.555111	0.00707884	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1554.062	1027.969	0.586374	0.00731860	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1564.674	1090.055	0.591449	0.00682935	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1645.823	1125.446	0.630255	0.00655047	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1650.027	1061.304	0.632266	0.00705592	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1738.807	1152.564	0.674722	0.00633677	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1832.023	1177.405	0.719299	0.00614102	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	1923.252	1179.014	0.762926	0.00612834	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	2016.271	1203.472	0.807409	0.00593561	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	2111.209	1200.522	0.852810	0.00595885	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	135	254	244	CT	2207.278	1221.070	0.898751	0.00579692	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	756.752	1244.546	0.206271	0.00555695	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	815.365	1245.067	0.234360	0.00555283	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	825.673	1216.488	0.239300	0.00577875	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	866.646	1179.384	0.258936	0.00607207	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	954.890	1148.785	0.301225	0.00631395	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	967.603	1098.069	0.307318	0.00671487	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	992.907	1034.853	0.319444	0.00721460	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.2	137	255	245	CT	994.050	1059.347	0.319992	0.00702097	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
