configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CWP	uncertainty_Fn	uncertainty_CWP	quality
C2-fixed-monohull	136	254	244	CWP	806.700	3277.034	0.231715	0.00031494	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	854.207	3256.062	0.254494	0.00048021	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	900.583	3239.850	0.276731	0.00060796	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	918.277	3216.404	0.285216	0.00079272	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	929.561	3214.410	0.290626	0.00080843	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	945.226	3179.182	0.298137	0.00108604	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	971.236	3162.373	0.310609	0.00121849	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	994.304	3168.035	0.321669	0.00117388	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1017.569	3162.300	0.332825	0.00121907	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1037.935	3160.276	0.342590	0.00123502	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1056.810	3157.762	0.351641	0.00125483	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1086.178	3148.694	0.365722	0.00132629	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1109.932	3141.110	0.377112	0.00138605	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1133.367	3123.546	0.388349	0.00152446	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1176.866	3080.588	0.409206	0.00186298	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1224.874	3027.630	0.432225	0.00228030	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-monohull	136	254	244	CWP	1272.333	2952.354	0.454981	0.00287349	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
