configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-free-monohull	161	268	258	CT	1172.196	1050.923	0.407283	0.00688993	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1193.948	961.070	0.417707	0.00760024	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1225.212	893.880	0.432690	0.00813139	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1257.658	867.913	0.448239	0.00833666	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1299.493	836.122	0.468288	0.00858797	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1312.430	835.486	0.474487	0.00859300	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1335.911	816.358	0.485740	0.00874421	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1367.271	825.496	0.500769	0.00867197	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1382.193	828.115	0.507920	0.00865127	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1426.933	828.732	0.529361	0.00864639	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1473.369	853.597	0.551614	0.00844983	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1520.563	872.551	0.574231	0.00829999	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1592.640	912.897	0.608773	0.00798105	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	161	268	258	CT	1687.292	970.407	0.654133	0.00752642	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
