configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CWP	uncertainty_Fn	uncertainty_CWP	quality
C2-free-monohull	163	269	259	CWP	1256.224	1027.266	0.451490	0.00401371	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1281.570	1040.506	0.463624	0.00390904	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1283.773	963.285	0.464679	0.00451949	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1302.112	1000.243	0.473458	0.00422732	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1327.647	878.474	0.485682	0.00518993	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1352.577	967.752	0.497617	0.00448418	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1374.145	970.969	0.507942	0.00445875	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1395.989	1018.657	0.518399	0.00408176	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1418.232	952.661	0.529047	0.00460347	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1463.960	1007.080	0.550938	0.00417328	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1471.218	1051.471	0.554413	0.00382237	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1511.960	1035.226	0.573917	0.00395079	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1583.177	1018.326	0.608010	0.00408438	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1629.504	1055.359	0.630188	0.00379163	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1679.589	1077.517	0.654165	0.00361647	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1743.256	1099.075	0.684644	0.00344605	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1823.521	1148.659	0.723068	0.00305408	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1858.098	1115.649	0.739621	0.00331502	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1866.408	1169.819	0.743600	0.00288680	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1954.900	1158.392	0.785963	0.00297714	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	163	269	259	CWP	1973.958	1246.693	0.795086	0.00227910	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
