configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	sinkage_over_draught	uncertainty_Fn	uncertainty_sinkage_over_draught	quality
C2-free-monohull	162	268	258	sinkage_over_draught	604.783	2864.568	0.138776	0.0146689	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	645.865	2886.881	0.158495	0.0093983	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	713.534	2856.956	0.190976	0.0164671	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	796.952	2845.344	0.231017	0.0192101	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	827.088	2822.121	0.245482	0.0246959	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	828.137	2861.159	0.245986	0.0154742	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	842.465	2821.195	0.252863	0.0249145	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	857.962	2793.236	0.260302	0.0315190	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	880.432	2800.097	0.271087	0.0298983	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	915.555	2787.663	0.287946	0.0328355	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	939.854	2776.920	0.299610	0.0353732	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	966.538	2730.979	0.312418	0.0462255	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	995.138	2706.926	0.326146	0.0519073	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	997.468	2742.238	0.327265	0.0435659	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1028.834	2750.914	0.342321	0.0415164	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1047.325	2706.989	0.351196	0.0518924	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1069.443	2673.109	0.361812	0.0598955	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1100.117	2652.074	0.376536	0.0648645	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1116.973	2624.991	0.384627	0.0712619	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1140.944	2608.694	0.396133	0.0751116	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1151.458	2604.357	0.401180	0.0761361	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1191.878	2561.409	0.420581	0.0862813	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1222.890	2548.209	0.435467	0.0893995	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1224.632	2585.634	0.436304	0.0805589	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1256.312	2577.755	0.451510	0.0824201	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	sinkage_over_draught	1327.984	2543.826	0.485912	0.0904348	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
