configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	trim_deg	uncertainty_Fn	uncertainty_trim_deg	quality
C2-free-monohull	162	268	258	trim_deg	586.544	2925.907	0.130021	0.0053826	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	647.222	2926.900	0.159147	-0.0016568	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	700.327	2930.005	0.184637	-0.0236596	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	757.037	2928.400	0.211858	-0.0122835	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	815.857	2928.270	0.240092	-0.0113607	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	872.667	2927.457	0.267360	-0.0056034	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	931.216	2929.635	0.295464	-0.0210370	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	990.057	2932.965	0.323708	-0.0446318	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1046.925	2929.694	0.351004	-0.0214536	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1107.460	2871.734	0.380061	0.3892837	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1165.916	2789.503	0.408120	0.9720241	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1223.376	2730.050	0.435700	1.3933473	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1282.759	2662.767	0.464204	1.8701544	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1339.722	2624.786	0.491547	2.1393096	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1397.518	2599.566	0.519289	2.3180380	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1549.242	2562.128	0.592116	2.5833428	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1628.272	2558.605	0.630050	2.6083080	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1745.448	2554.051	0.686295	2.6405847	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1860.527	2541.743	0.741533	2.7278085	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	1975.208	2524.378	0.796580	2.8508671	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	2094.257	2497.291	0.853723	3.0428200	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-monohull	162	268	258	trim_deg	2213.499	2469.426	0.910960	3.2402917	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	697.286	2986.454	0.183881	0.0556652	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	755.850	2978.855	0.212067	0.1093469	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	814.079	2969.409	0.240092	0.1760755	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	871.839	2988.132	0.267891	0.0438069	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	930.212	2967.072	0.295985	0.1925835	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	986.646	2975.434	0.323145	0.1335138	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1047.738	2989.310	0.352548	0.0354849	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1277.869	2557.839	0.463306	3.0835549	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1336.413	2505.960	0.491482	3.4500489	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1392.002	2477.062	0.518236	3.6541949	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1468.880	2489.152	0.555236	3.5687870	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1544.477	2489.757	0.591620	3.5645094	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1544.663	2457.408	0.591710	3.7930338	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	trim_deg	1622.362	2490.014	0.629105	3.5626964	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	601.871	2899.852	0.131551	-0.0669249	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	659.253	2896.755	0.159035	-0.0451498	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	716.596	2894.119	0.186501	-0.0266184	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	774.725	2894.250	0.214344	-0.0275406	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	832.640	2892.423	0.242084	-0.0146965	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	890.761	2886.505	0.269923	0.0269157	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	948.589	2875.918	0.297621	0.1013608	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1007.476	2894.632	0.325827	-0.0302251	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1064.817	2886.648	0.353292	0.0259140	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1288.402	2526.839	0.460384	2.5558169	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1344.710	2502.867	0.487355	2.7243743	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1357.094	2503.548	0.493286	2.7195814	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1404.710	2503.045	0.516093	2.7231211	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1560.183	2492.738	0.590561	2.7955894	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1641.614	2511.654	0.629565	2.6625901	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1717.624	2522.876	0.665972	2.5836812	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1794.675	2507.890	0.702878	2.6890563	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1794.874	2552.177	0.702973	2.3776631	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1873.911	2503.877	0.740830	2.7172722	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	1988.373	2470.585	0.795655	2.9513577	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	2108.430	2444.207	0.853159	3.1368275	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	trim_deg	2223.460	2442.926	0.908257	3.1458360	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	629.699	2763.166	0.158676	0.2080736	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	687.683	2763.110	0.186405	0.2084712	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	746.172	2774.233	0.214376	0.1300190	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	805.405	2772.053	0.242702	0.1453921	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	863.133	2768.196	0.270308	0.1725981	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	921.739	2764.682	0.298334	0.1973868	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	979.339	2787.448	0.325879	0.0368101	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1036.603	2759.343	0.353264	0.2350413	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1150.947	2581.758	0.407945	1.4876021	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1211.317	2531.303	0.436815	1.8434722	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1245.925	2528.757	0.453365	1.8614337	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1267.822	2469.405	0.463836	2.2800606	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1312.914	2491.394	0.485400	2.1249674	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1323.268	2440.000	0.490351	2.4874608	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1380.793	2450.491	0.517860	2.4134677	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1382.350	2479.519	0.518605	2.2087233	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1382.495	2425.525	0.518675	2.5895560	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1458.749	2415.694	0.555140	2.6589003	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1522.704	2440.301	0.585724	2.4853362	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	174	274	264	trim_deg	1535.471	2410.603	0.591830	2.6948081	0.002	0.05	marker_center_clear_or_partly_curve_overlapped
