figure,pdf_page,printed_page,config,quantity,x_left_px,x_right_px,x_left_value,x_right_value,y_top_px,y_bottom_px,y_top_value,y_bottom_value
161,268,258,monohull,CT,531,2406,0.1,1.0,278,1544,0.013,0.003
163,269,259,monohull,CWP,522,2402,0.1,1.0,270,1534,0.01,0.0
165,270,260,S/L=0.2,CT,539,2412,0.1,1.0,337,1560,0.013,0.003
167,271,261,S/L=0.2,CWP,524,2405,0.1,1.0,243,1515,0.01,0.0
169,272,262,S/L=0.3,CT,542,2427,0.1,1.0,292,1564,0.013,0.003
171,273,263,S/L=0.3,CWP,521,2409,0.1,1.0,265,1535,0.01,0.0
173,274,264,S/L=0.4,CT,514,2404,0.1,1.0,202,1468,0.013,0.003
175,275,265,S/L=0.4,CWP,523,2410,0.1,1.0,243,1510,0.01,0.0
177,276,266,S/L=0.5,CT,517,2404,0.1,1.0,282,1556,0.013,0.003
179,277,267,S/L=0.5,CWP,525,2411,0.1,1.0,244,1512,0.01,0.0
162,268,258,monohull,trim_deg,524,2399,0.1,1.0,2078,3350,6.0,-3.0
162,268,258,monohull,sinkage_over_draught,524,2399,0.1,1.0,2078,3350,0.2,-0.1
166,270,260,S/L=0.2,trim_deg,524,2393,0.1,1.0,2145,3419,6.0,-3.0
166,270,260,S/L=0.2,sinkage_over_draught,524,2393,0.1,1.0,2145,3419,0.2,-0.1
170,272,262,S/L=0.3,trim_deg,536,2415,0.1,1.0,2036,3317,6.0,-3.0
170,272,262,S/L=0.3,sinkage_over_draught,536,2415,0.1,1.0,2036,3317,0.2,-0.1
174,274,264,S/L=0.4,trim_deg,507,2389,0.1,1.0,1942,3218,6.0,-3.0
174,274,264,S/L=0.4,sinkage_over_draught,507,2389,0.1,1.0,1942,3218,0.2,-0.1
178,276,266,S/L=0.5,trim_deg,510,2391,0.1,1.0,2025,3296,6.0,-3.0
178,276,266,S/L=0.5,sinkage_over_draught,510,2391,0.1,1.0,2025,3296,0.2,-0.1
