point_id,config,quantity,figure,pdf_page,printed_page,x_px,y_px,fn,value,fn_digitization_uncertainty,value_digitization_uncertainty,center_uncertainty_px,axis_x_left_px,axis_x_right_px,axis_y_top_px,axis_y_bottom_px,axis_value_top,axis_value_bottom,method,status
fig161-ct-001,monohull,CT,161,268,258,652.030,1202.838,0.1580945,0.0056947995,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-002,monohull,CT,161,268,258,677.981,1246.962,0.1705508,0.00534627537,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-003,monohull,CT,161,268,258,710.495,1225.133,0.1861577,0.00551869405,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-004,monohull,CT,161,268,258,725.444,1248.007,0.1933330,0.00533801704,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-005,monohull,CT,161,268,258,756.790,1270.790,0.2083794,0.00515805432,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-006,monohull,CT,161,268,258,803.394,1261.163,0.2307492,0.00523409588,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-007,monohull,CT,161,268,258,821.925,1214.513,0.2396440,0.00560258689,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-008,monohull,CT,161,268,258,835.611,1223.593,0.2462133,0.0055308642,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-009,monohull,CT,161,268,258,849.074,1232.870,0.2526756,0.00545758001,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-010,monohull,CT,161,268,258,888.292,1240.092,0.2715003,0.00540053469,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-011,monohull,CT,161,268,258,921.023,1194.893,0.2872110,0.00575755822,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-012,monohull,CT,161,268,258,941.845,1190.397,0.2972055,0.00579307621,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-013,monohull,CT,161,268,258,951.446,1160.800,0.3018142,0.00602685624,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-014,monohull,CT,161,268,258,953.537,1352.158,0.3028177,0.00451534048,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-015,monohull,CT,161,268,258,969.837,1163.625,0.3106420,0.00600454186,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-016,monohull,CT,161,268,258,971.381,1144.893,0.3113829,0.00615250508,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-017,monohull,CT,161,268,258,987.697,1156.764,0.3192144,0.00605873582,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-018,monohull,CT,161,268,258,1022.130,1174.093,0.3357422,0.00592185946,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-019,monohull,CT,161,268,258,1047.623,1167.957,0.3479791,0.00597032763,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-020,monohull,CT,161,268,258,1054.395,1373.605,0.3512296,0.00434593256,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-021,monohull,CT,161,268,258,1076.275,1162.275,0.3617320,0.00601520537,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-022,monohull,CT,161,268,258,1077.091,1171.545,0.3621236,0.00594197903,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-023,monohull,CT,161,268,258,1101.656,1145.925,0.3739148,0.00614435441,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-024,monohull,CT,161,268,258,1123.578,1127.844,0.3844373,0.00628716869,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-025,monohull,CT,161,268,258,1148.884,1108.814,0.3965842,0.00643748852,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-026,monohull,CT,161,268,258,1172.494,1051.506,0.4079173,0.006890161,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-027,monohull,CT,161,268,258,1221.545,889.404,0.4314618,0.0081705842,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-028,monohull,CT,161,268,258,1231.274,904.560,0.4361314,0.00805087264,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-029,monohull,CT,161,268,258,1241.271,855.832,0.4409301,0.00843576796,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-030,monohull,CT,161,268,258,1255.446,861.277,0.4477340,0.00839275586,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-031,monohull,CT,161,268,258,1266.234,876.781,0.4529125,0.00827029028,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-032,monohull,CT,161,268,258,1290.754,834.319,0.4646817,0.00860569636,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-033,monohull,CT,161,268,258,1311.925,838.642,0.4748442,0.00857154983,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-034,monohull,CT,161,268,258,1335.716,814.442,0.4862636,0.00876270059,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-035,monohull,CT,161,268,258,1361.156,825.948,0.4984750,0.0086718174,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-036,monohull,CT,161,268,258,1382.076,828.378,0.5085163,0.00865262124,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-037,monohull,CT,161,268,258,1427.086,823.714,0.5301211,0.00868946062,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-038,monohull,CT,161,268,258,1472.875,856.361,0.5521000,0.0084315868,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-039,monohull,CT,161,268,258,1521.385,869.500,0.5753846,0.00832780411,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-040,monohull,CT,161,268,258,1592.804,910.714,0.6096657,0.00800225683,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-041,monohull,CT,161,268,258,1687.786,972.633,0.6552571,0.0075131702,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-042,monohull,CT,161,268,258,1779.840,1012.877,0.6994430,0.00719528797,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
fig161-ct-043,monohull,CT,161,268,258,1833.546,1012.463,0.7252222,0.00719855479,0.0020,5e-05,4.0,531,2406,278,1544,0.013,0.003,enclosed-white-center centroid of visible open-square marker,accepted-pass-B
