figure,source_printed_page,source_pdf_page,separation_over_length,fn_anchor,reason,resolution,fn_a,tau_a,fn_b,tau_b,fn_pass_difference,tau_pass_difference,pass_a_x_px,pass_a_y_px,pass_b_x_px,pass_b_y_px
359,358,368,0.2,0.215,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.2150001,1.0292350,0.2149998,1.1196682,0.0000002,0.0904332,773.689,1059.972,774.433,1014.000
359,358,368,0.2,0.520,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5199998,1.5542173,0.5200000,1.6488942,0.0000002,0.0946769,1406.733,793.701,1406.800,746.000
359,358,368,0.2,0.560,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5600002,1.5429653,0.5599998,1.4494471,0.0000004,0.0935182,1489.756,799.408,1489.733,847.000
359,358,368,0.2,0.580,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5800002,1.4614688,0.5800000,1.3665087,0.0000002,0.0949602,1531.267,840.743,1531.200,889.000
359,358,368,0.2,0.610,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6099998,1.3768829,0.6100000,1.2657978,0.0000002,0.1110851,1593.533,883.645,1593.400,940.000
359,358,368,0.2,0.620,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6200001,1.2396431,0.6199998,1.3487362,0.0000002,0.1090930,1614.289,953.253,1614.133,898.000
359,358,368,0.2,0.645,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6450001,1.2638131,0.6450002,1.1433649,0.0000001,0.1204482,1666.178,940.994,1665.967,1002.000
359,358,368,0.2,0.650,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6500002,1.2500887,0.6499998,1.1236177,0.0000004,0.1264710,1676.556,947.955,1676.333,1012.000
359,358,368,0.2,0.655,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6549998,1.2380106,0.6550000,1.1117694,0.0000002,0.1262413,1686.933,954.081,1686.700,1018.000
359,358,368,0.2,0.660,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6599999,1.2251834,0.6600002,0.9992101,0.0000002,0.2259732,1697.311,960.587,1697.067,1075.000
360,358,368,0.3,0.210,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.2099999,1.0806028,0.2100002,1.1876485,0.0000002,0.1070457,763.311,2771.215,764.067,2717.000
360,358,368,0.3,0.305,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.3050001,0.9566028,0.3049998,1.0847189,0.0000002,0.1281162,960.489,2833.959,961.033,2769.000
360,358,368,0.3,0.470,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.4700002,1.3995771,0.4699998,1.4865400,0.0000004,0.0869629,1302.956,2609.814,1303.133,2566.000
360,358,368,0.3,0.525,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5249999,1.3214743,0.5250002,1.2391132,0.0000002,0.0823611,1417.111,2649.334,1417.167,2691.000
360,358,368,0.3,0.530,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5300001,1.3150296,0.5299998,1.2193191,0.0000002,0.0957106,1427.489,2652.595,1427.533,2701.000
360,358,368,0.3,0.620,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6200001,1.0183261,0.6199998,1.1262866,0.0000002,0.1079605,1614.289,2802.727,1614.133,2748.000
360,358,368,0.3,0.635,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6349999,1.0040158,0.6349998,1.1045131,0.0000001,0.1004973,1645.422,2809.968,1645.233,2759.000
360,358,368,0.3,0.685,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.6850000,0.9619190,0.6850000,1.0649248,0.0000000,0.1030058,1749.200,2831.269,1748.900,2779.000
361,359,369,0.4,0.245,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.2450002,1.0183636,0.2449998,0.8866509,0.0000004,0.1317127,835.956,1065.486,836.633,1132.000
361,359,369,0.4,0.265,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.2650002,1.0343750,0.2650000,1.1275671,0.0000002,0.0931921,877.467,1057.365,878.100,1010.000
361,359,369,0.4,0.305,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.3050001,1.0796530,0.3049998,0.9636651,0.0000002,0.1159879,960.489,1034.400,961.033,1093.000
361,359,369,0.4,0.370,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.3700000,1.1805363,0.3700000,1.4060032,0.0000000,0.2254669,1095.400,983.232,1095.800,869.000
361,359,369,0.4,0.540,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5399998,1.1148837,0.5400002,1.1966825,0.0000004,0.0817988,1448.244,1016.531,1448.267,975.000
361,359,369,0.4,0.545,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5449999,1.0590891,0.5449998,1.1868088,0.0000001,0.1277197,1458.622,1044.830,1458.633,980.000
361,359,369,0.4,0.905,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.9049999,0.8829633,0.9049998,0.9893365,0.0000001,0.1063732,2205.822,1134.161,2205.033,1080.000
361,359,369,0.4,0.910,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.9100000,0.8839511,0.9100000,0.9913112,0.0000000,0.1073601,2216.200,1133.660,2215.400,1079.000
362,359,369,0.5,0.240,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.2400001,1.0545553,0.2400002,0.9520982,0.0000001,0.1024572,825.578,2784.395,826.267,2836.000
362,359,369,0.5,0.375,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.3750001,1.1898478,0.3750002,1.3400633,0.0000001,0.1502155,1105.778,2715.937,1106.167,2640.000
362,359,369,0.5,0.380,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.3800002,1.3457747,0.3799998,1.1916073,0.0000004,0.1541674,1116.156,2637.038,1116.533,2715.000
362,359,369,0.5,0.470,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.4700002,1.0533063,0.4699998,1.1698337,0.0000004,0.1165274,1302.956,2785.027,1303.133,2726.000
362,359,369,0.5,0.485,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.4850001,1.0356739,0.4849998,1.1361837,0.0000002,0.1005098,1334.089,2793.949,1334.233,2743.000
362,359,369,0.5,0.510,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.5100001,1.0967273,0.5100002,1.1856690,0.0000001,0.0889418,1385.978,2763.056,1386.067,2718.000
362,359,369,0.5,0.885,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.8849999,0.9210692,0.8850002,1.0174188,0.0000002,0.0963497,2164.311,2851.939,2163.567,2803.000
362,359,369,0.5,0.895,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.8950002,0.9216561,0.8950000,1.0213777,0.0000002,0.0997215,2185.067,2851.642,2184.300,2801.000
362,359,369,0.5,0.920,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.9200002,0.9352431,0.9199998,1.0411718,0.0000004,0.1059287,2236.956,2844.767,2236.133,2791.000
362,359,369,0.5,0.940,pass_difference_exceeds_preregistered_admission_limit,omitted_after_source_only_reinspection,0.9400002,0.9462747,0.9400000,1.0550277,0.0000002,0.1087530,2278.467,2839.185,2277.600,2784.000
