# source: Mustafa Insel, 1990 PhD thesis, Figures 359--362
# source_location: printed pages 358--359; PDF pages 368--369
# identity: solid C2 (Wigley hull), independently audited before this attribution
figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_description,fn_anchor,fn,tau,fn_digitization_uncertainty,tau_digitization_uncertainty,pass_count,source_archive
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.150,0.1500001,1.1852043,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.155,0.1550000,1.1379845,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.160,0.1599999,1.1463987,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.165,0.1650001,1.1085424,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.170,0.1699999,1.1332103,0.0030000,0.0211776,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.175,0.1750001,1.1251262,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.180,0.1800000,1.1688488,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.185,0.1849999,1.2248037,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.190,0.1900000,1.2793362,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.195,0.1950001,1.3332337,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.200,0.2000000,1.3541624,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.205,0.2049999,1.2494105,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.210,0.2100001,1.1384619,0.0030000,0.0212024,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.230,0.2299999,0.9165689,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.235,0.2350000,1.0129576,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.240,0.2400001,1.0430138,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.245,0.2450000,1.1442418,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.250,0.2499999,1.2148532,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.255,0.2550001,1.1882559,0.0030000,0.0289499,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.260,0.2599999,1.0657789,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.285,0.2850001,1.0537918,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.290,0.2900000,1.1982918,0.0030000,0.0292555,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.295,0.2949999,1.3456869,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.300,0.3000001,1.4757987,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.305,0.3049999,1.4041509,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.310,0.3100001,1.3180294,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.315,0.3150000,1.2642100,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.320,0.3199999,1.1114766,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.325,0.3250000,1.0526755,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.330,0.3300001,1.0011631,0.0030000,0.0200000,2,theory_family_359.csv
359,358,368,0.2,C2,Wigley hull,solid,solid C2: oscillatory left branch; isolated upper broad crest near Fn 0.45,0.335,0.3350000,0.9144473,0.0030000,0.0200000,2,theory_family_359.csv
