# source: Mustafa Insel, 1990 PhD thesis, Figure 359
# source_location: printed page 358; PDF page 368
# source-only two-pass trace; no michell output used in extraction or reconciliation
figure,source_printed_page,source_pdf_page,separation_over_length,model,hull,line_style,relative_position_pass_a,relative_position_pass_b,fn_anchor,fn,tau,fn_digitization_uncertainty,tau_digitization_uncertainty,pass_count,adjudication,fn_a,tau_a,fn_b,tau_b,fn_pass_difference,tau_pass_difference,pass_a_x_px,pass_a_y_px,pass_b_x_px,pass_b_y_px
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.150,0.1500001,1.1852043,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1500001,1.1826104,0.1500002,1.1877982,0.0000001,0.0051878,638.778,982.180,639.667,979.499
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.155,0.1550000,1.1379845,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1550002,1.1366463,0.1549998,1.1393227,0.0000004,0.0026764,649.156,1005.493,650.033,1004.047
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.160,0.1599999,1.1463987,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1599998,1.1593060,0.1600000,1.1334913,0.0000002,0.0258147,659.533,994.000,660.400,1007.000
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.165,0.1650001,1.1085424,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1649999,1.1003155,0.1650002,1.1167694,0.0000002,0.0164539,669.911,1023.920,670.767,1015.468
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.170,0.1699999,1.1332103,0.0030000,0.0211776,2,two-pass source-only match; ordinate averaged,0.1700001,1.1120327,0.1699998,1.1543878,0.0000002,0.0423551,680.289,1017.977,681.133,996.418
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.175,0.1750001,1.1251262,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1750002,1.1277346,0.1750000,1.1225178,0.0000002,0.0052168,690.667,1010.013,691.500,1012.557
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.180,0.1800000,1.1688488,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1799998,1.1737125,0.1800002,1.1639850,0.0000004,0.0097275,701.044,986.693,701.867,991.558
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.185,0.1849999,1.2248037,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1849999,1.2360292,0.1849998,1.2135782,0.0000001,0.0224510,711.422,955.086,712.233,966.444
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.190,0.1900000,1.2793362,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1900000,1.2928746,0.1900000,1.2657978,0.0000000,0.0270768,721.800,926.254,722.600,940.000
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.195,0.1950001,1.3332337,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.1950001,1.3423837,0.1950002,1.3240837,0.0000001,0.0182999,732.178,901.143,732.967,910.484
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.200,0.2000000,1.3541624,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2000002,1.3528707,0.1999998,1.3554542,0.0000004,0.0025835,742.556,895.824,743.333,894.598
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.205,0.2049999,1.2494105,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2049998,1.2475237,0.2050000,1.2512974,0.0000002,0.0037737,752.933,949.256,753.700,947.343
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.210,0.2100001,1.1384619,0.0030000,0.0212024,2,two-pass source-only match; ordinate averaged,0.2099999,1.1172595,0.2100002,1.1596643,0.0000002,0.0424048,763.311,1015.326,764.067,993.746
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.230,0.2299999,0.9165689,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2299999,0.9300118,0.2299998,0.9031260,0.0000001,0.0268858,804.822,1110.298,805.533,1123.657
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.235,0.2350000,1.0129576,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2350000,1.0306546,0.2350000,0.9952607,0.0000000,0.0353939,815.200,1059.252,815.900,1077.000
359,358,368,0.2,C2,Wigley hull,solid,oscillatory below Fn 0.39; isolated upper broad hump near Fn 0.45,oscillatory left branch and uniquely high broad crest,0.240,0.2400001,1.0430138,0.0030000,0.0200000,2,two-pass source-only match; ordinate averaged,0.2400001,1.0432729,0.2400002,1.0427547,0.0000001,0.0005181,825.578,1052.852,826.267,1052.949
